from,to,relation,duration,status,health
roesler,bundeswehr,1,4,2,1
roesler,bundeskanzleramt,1,2,2,2
roesler,ministeriumfuerwirtschaftarbeitundverkehrniedersachsen,8,1,2,2
flach,haushaltsausschuss,1,2,2,1
flach,bildungsausschuss,1,2,2,2
flach,theateranderruhr,2,99,2,2
flach,gesellschaftzurbekaempfungderkrebskrankheitennrw,3,99,2,1
flach,duk,2,99,2,2
flach,dcta,2,99,2,2
flach,aupu,2,99,2,2
flach,wiesenkirchesoest,3,99,2,2
flach,internationalnrwgraduateschool,3,99,2,2
flach,heinzkuehnstiftung,2,99,1,2
flach,maxplanckinstitut,3,99,99,2
flach,siemenspowerengineering,1,6,2,2
flach,compugroup,2,3,1,1
flach,bmg,1,2,2,1
flach,fdp,4,6,1,2
ilka,bmg,1,2,2,1
ilka,gdv,1,3,2,1
ilka,dihk,1,2,2,2
ilka,europaeischebewegungdeutschland,2,2,2,2
ilka,fdp,4,6,1,2
ilka,friedrichnaumannstiftung,1,1,1,2
zoeller,cdu,4,6,1,2
zoeller,akzo,1,6,2,2
zoeller,alfa,4,99,1,1
zoeller,tvgrosswallstadt,3,99,1,2
zoeller,edelweissmusikverein,3,99,99,2
zoeller,deutscherapothekenverband,3,99,99,1
zoeller,tsvolympia,3,6,2,2
zoeller,bundzurfoerderungdesgesundheitsmanagements,3,99,1,1
zoeller,bmg,1,2,2,1
zoeller,gesundheitsausschuss,4,4,2,1
dyckmans,bmg,1,2,2,1
dyckmans,fdp,4,6,2,2
dyckmans,christeninderfdpbundestagsfraktion,2,4,2,2
bahr,bmg,1,3,2,1
bahr,fdp,4,6,2,2
bahr,gesundheitsausschuss,4,3,2,1
bahr,centerforamericanprogress,1,99,99,1
bahr,universityofmichigan,2,99,99,1
bahr,apkv,1,3,1,1
bahr,ergo,4,99,2,1
bahr,duk,4,99,2,1
bahr,jugendgegenaids,4,99,1,1
bahr,aktionsbuendnisschmerzfreiestadtmuenster,4,4,1,1
bahr,weltwirtschaftsforum,4,3,1,2
,,,,,
fischbach,europauniondeutschland,4,1,2,2
fischbach,cdu,4,6,1,2
fischbach,bmg,1,2,2,1
mortler,landfrauen,4,6,2,2
mortler,bayrischerbauernverband,4,6,2,2
mortler,bayrischeversicherungskammer,4,6,2,2
mortler,bayrischelandeszentrale,4,5,2,2
mortler,europauniondeutschland,4,1,1,2
mortler,ausschussernaehrunglandwirtschaft,7,6,2,2
mortler,qsqualitaet,5,1,1,2
mortler,absatzfoerderungsfond,4,1,1,2
mortler,ausschusstourismus,7,2,2,2
mortler,cdu,4,6,1,2
mortler,bmg,1,2,2,1
groehe,ecclesiaholding,5,1,1,2
groehe,konradadenauerstiftung,4,6,1,2
groehe,ekd,4,6,1,2
groehe,ausschussarbeitsoziales,7,1,1,2
groehe,ausschussentwicklung,7,1,1,2
groehe,vermittlungsausschuss,7,1,1,2
groehe,cdu,4,6,1,2
groehe,bmg,1,2,2,1
widmann_mauz,europauniondeutschland,4,99,1,2
widmann_mauz,fu,3,2,1,2
widmann_mauz,bnev,3,99,1,1
widmann_mauz,grpg,3,99,2,1
widmann_mauz,dhps,3,99,1,1
widmann_mauz,stiftungfriedrichebert,3,99,1,2
widmann_mauz,kinderbrauchenfrieden,3,99,1,2
widmann_mauz,archenoah,3,5,1,1
widmann_mauz,zervita,3,1,1,1
widmann_mauz,irmawest,4,99,99,2
widmann_mauz,schwaebischerdialekt,4,99,99,2
widmann_mauz,eugenbolzstiftung,4,99,99,2
widmann_mauz,donumvitae,4,99,99,1
widmann_mauz,cdu,4,6,1,2
widmann_mauz,bmg,1,2,2,1
laumann,cda,3,6,1,2
laumann,kab,4,99,1,2
laumann,igmetall,4,99,1,2
laumann,kolpingwerk,4,99,1,2
laumann,cdu,4,6,1,2
laumann,bmg,1,2,2,1
,,,,,
spahn,dfk,3,1,1,2
spahn,dbu,3,1,1,2
spahn,jga,3,1,1,1
spahn,kulturstiftungdesbundes,3,1,1,2
spahn,stiftunghumanitaerehilfe,3,1,1,1
spahn,pareton,2,1,2,2
spahn,politas,2,2,2,1
spahn,sparkassewestmuensterland,2,2,2,1
spahn,bmg,1,2,1,1
spahn,comline,5,1,2,2
spahn,dkg,5,1,2,1
spahn,medapharma,5,1,2,1
spahn,facetoface,5,1,2,1
spahn,unikreditbank,5,1,2,2
spahn,cdu,4,6,1,2
gebhart,basf,1,1,2,1
gebhart,europauniondeutschland,2,99,99,2
gebhart,bmg,1,2,1,1
gebhart,cdu,4,6,1,2
ludwig,fortschrittrosenheim,3,99,1,1
ludwig,bayerischesroteskreuz,3,99,1,1
ludwig,bmg,1,99,1,1
ludwig,petoekindergartenrosenheim,3,99,1,2
ludwig,foerdervereinkinderklinikrosenheim,3,99,1,1
ludwig,bkf,3,99,1,1
ludwig,pflegestiftungmeltl,3,99,1,1
ludwig,donumvitaerosenheim,3,99,1,2
ludwig,bundesstiftungbaukultur,4,99,1,2
ludwig,cdu,4,6,1,2
weiss,pangasinan,3,6,1,2
weiss,bmg,1,2,1,1
weiss,cdu,4,6,1,2
steffen,bmg,1,2,1,1
steffen,bmwi,1,1,2,2
steffen,bmf,1,2,2,2
steffen,bafin,4,3,2,2
westerfellhaus,bmg,1,2,1,1
westerfellhaus,deutscherpflegerat,4,6,2,1
westerfellhaus,zab,1,6,2,1
westerfellhaus,westfaelischenklinik,1,3,2,1
schmidtke,eacts,99,99,99,1
schmidtke,dgthg,99,99,99,1
schmidtke,dgesgm,99,99,99,1
schmidtke,segebergerkliniken,2,99,2,1
schmidtke,bmg,1,2,1,1
schmidtke,muk,2,99,99,2
schmidtke,cdu,4,4,1,2
